map_name,scenario_index,total_agents,active_agents,inactive_agents,density,SOC,makespan,runtime
random-32-32-20,1,25,25,0,0.224609375,1325,52,0.022009849548339844
random-32-32-20,2,25,25,0,0.224609375,1325,52,0.023296117782592773
random-32-32-20,3,25,25,0,0.224609375,1600,63,0.02470874786376953
random-32-32-20,4,25,25,0,0.224609375,1075,42,0.01855754852294922
random-32-32-20,5,25,25,0,0.224609375,1000,39,0.020133018493652344
random-32-32-20,6,25,25,0,0.224609375,1075,42,0.01997971534729004
random-32-32-20,7,25,25,0,0.224609375,1350,53,0.022986412048339844
random-32-32-20,8,25,25,0,0.224609375,1450,57,0.024653911590576172
random-32-32-20,9,25,25,0,0.224609375,1250,49,0.021759748458862305
random-32-32-20,10,25,25,0,0.224609375,1400,55,0.024959564208984375
random-32-32-20,11,25,25,0,0.224609375,1400,55,0.0274503231048584
random-32-32-20,12,25,25,0,0.224609375,1250,49,0.020763874053955078
random-32-32-20,13,25,25,0,0.224609375,1150,45,0.021973371505737305
random-32-32-20,14,25,25,0,0.224609375,1350,53,0.025478601455688477
random-32-32-20,15,25,25,0,0.224609375,1225,48,0.022409439086914062
random-32-32-20,16,25,25,0,0.224609375,1275,50,0.025211095809936523
random-32-32-20,17,25,25,0,0.224609375,1500,59,0.021251201629638672
random-32-32-20,18,25,25,0,0.224609375,1125,44,0.022369384765625
random-32-32-20,19,25,25,0,0.224609375,1275,50,0.020044326782226562
random-32-32-20,20,25,25,0,0.224609375,1175,46,0.02199840545654297
random-32-32-20,21,25,25,0,0.224609375,1375,54,0.025141239166259766
random-32-32-20,22,25,25,0,0.224609375,1175,46,0.02279973030090332
random-32-32-20,23,25,25,0,0.224609375,1050,41,0.017939090728759766
random-32-32-20,24,25,25,0,0.224609375,1250,49,0.022475242614746094
random-32-32-20,25,25,25,0,0.224609375,1300,51,0.022043228149414062
random-32-32-20,1,50,25,25,0.2490234375,2650,52,0.032608747482299805
random-32-32-20,2,50,25,25,0.2490234375,2650,52,0.034342288970947266
random-32-32-20,3,50,25,25,0.2490234375,3200,63,0.03819847106933594
random-32-32-20,4,50,25,25,0.2490234375,2150,42,0.026990890502929688
random-32-32-20,5,50,25,25,0.2490234375,2100,41,0.02962470054626465
random-32-32-20,6,50,25,25,0.2490234375,2150,42,0.03174257278442383
random-32-32-20,7,50,25,25,0.2490234375,2700,53,0.0358431339263916
random-32-32-20,8,50,25,25,0.2490234375,2500,49,0.031935930252075195
random-32-32-20,9,50,25,25,0.2490234375,2500,49,0.032711029052734375
random-32-32-20,10,50,25,25,0.2490234375,2800,55,0.03901815414428711
random-32-32-20,11,50,25,25,0.2490234375,2800,55,0.03819751739501953
random-32-32-20,12,50,25,25,0.2490234375,2500,49,0.032209157943725586
